,Controller1.dump,Grid1.flag_warning,Consumption_kW,Energy_MWh,CO2_Intensity,CO2_emissions_kg,Cumulative_CO2_kg,Cumulative_CO2_tonnes
2012-02-01 03:45:00,-23.977150663030628,0,23.977150663030628,0.0059942876657576565,198.32208204124265,1.188799610227199,27.395470592493503,0.027395470592493504
2012-02-01 04:00:00,-25.12481530299143,0,25.12481530299143,0.006281203825747857,198.92747956196013,1.2495040456709625,28.644974638164467,0.028644974638164466
2012-02-01 04:15:00,-23.94540091562465,0,23.94540091562465,0.005986350228906162,202.25020624394003,1.2107405684447288,29.855715206609194,0.029855715206609193
2012-02-01 04:30:00,-25.76145435140584,0,25.76145435140584,0.0064403635878514595,204.3264358424322,1.3159365374350678,31.17165174404426,0.031171651744044262
2012-02-01 04:45:00,-26.180821284421505,0,26.180821284421505,0.006545205321105376,207.84111793300923,1.3603627910396219,32.53201453508388,0.03253201453508388
2012-02-01 05:00:00,-25.851182088497023,0,25.851182088497023,0.006462795522124256,209.66535669701506,1.3550243284060537,33.887038863489934,0.033887038863489934
2012-02-01 05:15:00,-23.86814541395738,0,23.86814541395738,0.005967036353489345,211.34610162899588,1.261109871588472,35.14814873507841,0.035148148735078405
2012-02-01 05:30:00,-25.890794092685883,0,25.890794092685883,0.006472698523171471,212.6113194693616,1.3761689735388747,36.52431770861728,0.036524317708617283
2012-02-01 05:45:00,-26.13490305862731,0,26.13490305862731,0.006533725764656827,214.02662859790306,1.3983912975927568,37.92270900621004,0.03792270900621004
2012-02-01 06:00:00,-26.598279189938804,0,26.598279189938804,0.006649569797484701,216.75283990592197,1.4413131377574553,39.364022143967496,0.039364022143967496
2012-02-01 06:15:00,-24.278439508864597,0,24.278439508864597,0.00606960987721615,218.1817752524186,1.324278258100634,40.68830040206813,0.04068830040206813
2012-02-01 06:30:00,-26.049694754090638,0,26.049694754090638,0.00651242368852266,218.91060868565165,1.4256386336733522,42.11393903574148,0.04211393903574148
2012-02-01 06:45:00,-7.391923034121725,0,7.391923034121725,0.0018479807585304313,219.75738823556,0.40610742500421665,42.5200464607457,0.0425200464607457
2012-02-01 07:00:00,-11.01961438218322,0,11.01961438218322,0.0027549035955458053,222.03762691346265,0.6116922567303563,43.131738717476054,0.043131738717476054
2012-02-01 07:15:00,-18.146653692024053,0,18.146653692024053,0.004536663423006013,224.44880756770175,1.0182486956297077,44.14998741310576,0.04414998741310576
2012-02-01 07:30:00,-24.445209603953124,0,24.445209603953124,0.006111302400988281,225.4200422108866,1.377610045194271,45.527597458300036,0.04552759745830003
2012-02-01 07:45:00,-28.415309241125748,0,28.415309241125748,0.007103827310281437,225.96699045126402,1.6052304779897941,47.13282793628983,0.047132827936289826
2012-02-01 08:00:00,-24.345482068631945,0,24.345482068631945,0.006086370517157986,226.21910002106975,1.3768532607862525,48.509681197076084,0.048509681197076084
2012-02-01 08:15:00,-22.7565928916298,0,22.7565928916298,0.00568914822290745,227.647472688015,1.2951202146923928,49.80480141176848,0.04980480141176848
2012-02-01 08:30:00,-12.193911653414794,0,12.193911653414794,0.0030484779133536986,228.85232947170323,0.697651271814031,50.50245268358251,0.05050245268358251
2012-02-01 08:45:00,-7.776404108641602,0,7.776404108641602,0.0019441010271604004,229.8173470928265,0.44678814054244226,50.949240824124956,0.050949240824124956
2012-02-01 09:00:00,-11.73587894054657,0,11.73587894054657,0.0029339697351366423,230.12256818552765,0.6751726504282565,51.624413474553215,0.05162441347455322
2012-02-01 09:15:00,-13.9639724034227,0,13.9639724034227,0.003490993100855675,229.87296791126093,0.8024849450514299,52.42689841960465,0.05242689841960465
2012-02-01 09:30:00,-13.96593318392299,0,13.96593318392299,0.0034914832959807474,229.1539114329012,0.8000870539766262,53.22698547358127,0.053226985473581276
2012-02-01 09:45:00,-13.91814807401122,0,13.91814807401122,0.003479537018502805,228.93668558712753,0.7965936723937479,54.02357914597502,0.05402357914597502
2012-02-01 10:00:00,-11.201094292967936,0,11.201094292967936,0.002800273573241984,229.709908264003,0.643250585623528,54.66682973159855,0.054666829731598546
2012-02-01 10:15:00,-8.931526898627375,0,8.931526898627375,0.0022328817246568436,230.30446477218408,0.5142426304966856,55.181072362095236,0.05518107236209523
2012-02-01 10:30:00,-22.66673175035169,0,22.66673175035169,0.005666682937587922,230.27440464834424,1.3048920397839894,56.48596440187922,0.056485964401879224
2012-02-01 10:45:00,-52.816656621828486,0,52.816656621828486,0.013204164155457122,230.40939897135732,3.0423635269780154,59.52832792885724,0.05952832792885724
2012-02-01 11:00:00,-53.9024971523314,0,53.9024971523314,0.01347562428808285,230.14362200046145,3.101328982376777,62.629656911234015,0.06262965691123401
2012-02-01 11:15:00,-41.2998375347836,0,41.2998375347836,0.0103249593836959,230.35585180106276,2.378414813642645,65.00807172487666,0.06500807172487666
2012-02-01 11:30:00,-17.75018652893403,0,17.75018652893403,0.004437546632233507,231.4099807090971,1.0268925805608748,66.03496430543753,0.06603496430543752
2012-02-01 11:45:00,-16.449485100808573,0,16.449485100808573,0.004112371275202143,232.32454721179695,0.955404794478138,66.99036909991567,0.06699036909991567
2012-02-01 12:00:00,-10.302999838756383,0,10.302999838756383,0.002575749959689096,233.27717476870086,0.6008636735068674,67.59123277342253,0.06759123277342254
2012-02-01 12:15:00,-14.044398491629796,0,14.044398491629796,0.003511099622907449,233.3668384556956,0.8193742185008964,68.41060699192343,0.06841060699192343
2012-02-01 12:30:00,-13.998397433032926,0,13.998397433032926,0.0034995993582582316,233.0130789147263,0.8154524214357508,69.22605941335918,0.06922605941335919
2012-02-01 12:45:00,-31.35684108718338,0,31.35684108718338,0.007839210271795845,233.5483400132916,1.8308345459930642,71.05689395935225,0.07105689395935225
2012-02-01 13:00:00,-19.382944005564312,0,19.382944005564312,0.004845736001391078,233.79166118675792,1.132892669437698,72.18978662878995,0.07218978662878994
2012-02-01 13:15:00,-33.710296767455176,0,33.710296767455176,0.008427574191863794,234.41624539374004,1.9755602998338935,74.16534692862383,0.07416534692862384
2012-02-01 13:30:00,-61.16468649594941,0,61.16468649594941,0.015291171623987352,234.2474919985477,3.581918602638397,77.74726553126223,0.07774726553126222
2012-02-01 13:45:00,-75.70216497191389,0,75.70216497191389,0.01892554124297847,234.38329225775965,4.435830664289307,82.18309619555154,0.08218309619555154
2012-02-01 14:00:00,-78.61829290447527,0,78.61829290447527,0.019654573226118816,234.1395513331164,4.601912956807341,86.78500915235888,0.08678500915235889
2012-02-01 14:15:00,-40.90924380657473,0,40.90924380657473,0.010227310951643682,233.65184264726676,2.3896300491781175,89.174639201537,0.08917463920153701
2012-02-01 14:30:00,-36.7747149641513,0,36.7747149641513,0.009193678741037825,233.32850650072314,2.1451473298938044,91.31978653143081,0.0913197865314308
2012-02-01 14:45:00,-40.17873017234776,0,40.17873017234776,0.010044682543086941,233.2338022729477,2.342759502148869,93.66254603357967,0.09366254603357968
2012-02-01 15:00:00,-37.29403685630605,0,37.29403685630605,0.009323509214076512,233.21297772221405,2.174363346635283,95.83690938021496,0.09583690938021497
2012-02-01 15:15:00,-39.5935099070007,0,39.5935099070007,0.009898377476750176,232.68984783073034,2.303251948836127,98.14016132905108,0.09814016132905108
2012-02-01 15:30:00,-66.6361542,0,66.6361542,0.016659038549999998,232.67812079437897,3.8761937840551153,102.0163551131062,0.1020163551131062
