,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,Price_EUR_MWh,Grid_Energy_MWh,Cost_EUR,PV_Energy_MWh,Wind_Energy_MWh,Net_Energy_MWh,Cumulative_Cost_EUR
2012-01-01 03:45:00,-10.456539434914806,10.608539434914809,10.076,-0.152000000000001,0.0,0.3645221650851942,10.9730616,0,10.456539434914806,0.0026141348587287016,45.98,0.0026141348587287016,0.12019792080434569,0,0,0.0026141348587287016,3.727538431471578
2012-01-01 04:00:00,-23.56356653294103,23.67356653294103,10.055,-0.1099999999999994,0.0,0.397082667058967,24.0706492,0,23.56356653294103,0.005890891633235258,50.83,0.005890891633235258,0.2994340217173482,0,0,0.005890891633235258,4.026972453188926
2012-01-01 04:15:00,-24.330915585561883,24.41091558556188,10.04,-0.0799999999999983,0.0,0.4186751144381196,24.8295907,0,24.330915585561883,0.0060827288963904705,51.07,0.0060827288963904705,0.3106449647386613,0,0,0.0060827288963904705,4.3376174179275875
2012-01-01 04:30:00,-27.664546209376617,27.722546209376617,10.029,-0.0579999999999998,0.0,0.4256528906233827,28.1481991,0,27.664546209376617,0.006916136552344155,52.47,0.006916136552344155,0.3628896849014978,0,0,0.006916136552344155,4.700507102829086
2012-01-01 04:45:00,-30.720408124245896,30.762408124245898,10.021,-0.0420000000000015,0.0,0.5398089757541035,31.3022171,0,30.720408124245896,0.007680102031061474,58.75,0.007680102031061474,0.4512059943248616,0,0,0.007680102031061474,5.151713097153947
2012-01-01 05:00:00,-33.13297295799734,33.16297295799734,10.015,-0.0300000000000011,0.0,0.5075903420026552,33.6705633,0,33.13297295799734,0.008283243239499334,48.37,0.008283243239499334,0.4006604754945828,0,0,0.008283243239499334,5.55237357264853
2012-01-01 05:15:00,-32.77371245901406,32.795712459014055,10.011,-0.0219999999999984,0.0,0.4817419409859457,33.2774544,0,32.77371245901406,0.008193428114753515,53.32,0.008193428114753515,0.4368735870786574,0,0,0.008193428114753515,5.989247159727187
2012-01-01 05:30:00,-33.345316531520666,33.361316531520664,10.008,-0.0159999999999982,0.0,0.574790368479331,33.9361069,0,33.345316531520666,0.008336329132880167,56.21,0.008336329132880167,0.4685850605591942,0,0,0.008336329132880167,6.457832220286381
2012-01-01 05:45:00,-29.17033519641652,29.18233519641652,10.006,-0.0120000000000004,0.0,0.650773103583484,29.8331083,0,29.17033519641652,0.00729258379910413,74.53,0.00729258379910413,0.5435162705472308,0,0,0.00729258379910413,7.001348490833612
2012-01-01 06:00:00,-23.536517474185437,23.544517474185437,10.004,-0.0079999999999991,0.0,0.6775139258145675,24.2220314,0,23.536517474185437,0.005884129368546359,61.09,0.005884129368546359,0.3594614631244971,0,0,0.005884129368546359,7.3608099539581096
2012-01-01 06:15:00,-18.008647332471458,18.01464733247146,10.003,-0.0060000000000002,0.0,0.7131938675285423,18.7278412,0,18.008647332471458,0.004502161833117865,74.89,0.004502161833117865,0.3371668996821969,0,0,0.004502161833117865,7.697976853640307
2012-01-01 06:30:00,-7.942159895738281,7.946159895738282,10.002,-0.0040000000000013,0.0,0.6384365042617164,8.584596399999999,0,7.942159895738281,0.0019855399739345703,83.01,0.0019855399739345703,0.1648196732363087,0,0,0.0019855399739345703,7.862796526876616
2012-01-01 06:45:00,-12.524951172948589,12.526951172948587,10.001,-0.0019999999999988,0.0,0.6187237270514134,13.1456749,0,12.524951172948589,0.0031312377932371472,95.76,0.0031312377932371472,0.29984733108038925,0,0,0.0031312377932371472,8.162643857957004
