,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,CO2_Intensity,CO2_emissions_kg,Cumulative_CO2_kg,Cumulative_CO2_tonnes
2012-01-01 03:00:00,-0.0,16.544927196205965,11.861,-16.544927196205965,0.0,0.2706353037940336,16.8155625,0,0.0,0.0,195.78982103632546,0.0,0.0,0.0
2012-01-01 03:15:00,-1.5389267817845589,15.548926781784555,11.401,-14.009999999999998,0.0,0.309543818215441,15.8584706,0,1.5389267817845589,0.0003847316954461397,196.83781785836348,0.07572974739256662,0.07572974739256662,7.572974739256662e-05
2012-01-01 03:30:00,-6.11503371081567,16.235033710815674,11.012,-10.120000000000005,0.0,0.3162106891843276,16.5512444,0,6.11503371081567,0.0015287584277039175,197.7929399238519,0.30237762384892325,0.37810737124148985,0.00037810737124148984
2012-01-01 03:45:00,-3.298539434914808,10.608539434914809,10.731,-7.309999999999999,0.0,0.3645221650851942,10.9730616,0,3.298539434914808,0.0008246348587287021,198.32208204124265,0.1635433021068622,0.541650673348352,0.0005416506733483521
2012-01-01 04:00:00,-18.393566532941023,23.67356653294103,10.528,-5.280000000000005,0.0,0.397082667058967,24.0706492,0,18.393566532941023,0.004598391633235255,198.92747956196013,0.9147464576382947,1.4563971309866468,0.0014563971309866468
2012-01-01 04:15:00,-20.60091558556188,24.41091558556188,10.381,-3.8100000000000014,0.0,0.4186751144381196,24.8295907,0,20.60091558556188,0.005150228896390469,202.25020624394003,1.041634856498472,2.4980319874851187,0.002498031987485119
2012-01-01 04:30:00,-24.972546209376613,27.722546209376617,10.275,-2.750000000000004,0.0,0.4256528906233827,28.1481991,0,24.972546209376613,0.006243136552344154,204.3264358424322,1.275637840218091,3.77366982770321,0.00377366982770321
2012-01-01 04:45:00,-28.7724081242459,30.762408124245898,10.199,-1.9899999999999984,0.0,0.5398089757541035,31.3022171,0,28.7724081242459,0.007193102031061474,207.84111793300923,1.4950223675420162,5.268692195245226,0.0052686921952452255
2012-01-01 05:00:00,-31.72297295799734,33.16297295799734,10.144,-1.4400000000000013,0.0,0.5075903420026552,33.6705633,0,31.72297295799734,0.007930743239499334,209.66535669701506,1.6628021101820687,6.931494305427295,0.006931494305427294
2012-01-01 05:15:00,-31.755712459014063,32.795712459014055,10.104,-1.039999999999992,0.0,0.4817419409859457,33.2774544,0,31.755712459014063,0.007938928114753515,211.34610162899588,1.6778615081659891,8.609355813593284,0.008609355813593284
